,Alpha,Generalization_Error,Min_Kappa
0,0.0,0.33761189807715736,1.9370168875788634
1,0.0,0.2886298106235241,1.2014614073568795
2,1.0,0.24480584411675715,0.9743811608386429
3,1.0,0.22475323448490556,0.7401217173048473
4,1.0,0.20622431695713517,0.6601966924596486
5,2.0,0.16208056910853522,0.5653386341198936
6,2.0,0.15222152751839532,0.4680055736171343
7,2.0,0.1564141628257509,0.39607232609466636
8,2.0,0.14275278161961436,0.4185968087548353
9,2.0,0.13042238713994603,0.3680706540227853
10,3.0,0.12096862986474745,0.31616074969342295
